word,disc,celex_gcm_wf,celex_gcm_nof,reg.av,category,moder,celex_gcm_wf_trans_moder_reg
queep,kwip,0.166136463848619,0.0934465558684488,0.42574257425742573,vowelt,KEPT,0.22395857760512014
queeve,kwiv,0.766130521988459,0.704622121744048,0.5742574257425742,ove,DROVE,0.7043899668295512
quide,kw2d,0.925407599304554,0.871483004967836,0.47029702970297027,ove,DROVE,0.9167646997480166
quine,kw2n,0.987333501076762,0.99562019317165,0.6534653465346535,ove,DROVE,0.9827226814404391
quing,kwIN,0.714191496449487,0.910456815587757,0.5297029702970297,ablaut,SANG,0.8503923227732892
quink,kwINk,0.876165690853033,0.935047267884525,0.5693069306930693,ablaut,SANG,0.9019860390616281
rurn,r3n,0.720578366533538,0.762366708766885,0.7313432835820896,novowelt,BURNT,0.7581326951557632
schmeel,Smil,0.723408635855274,0.695510837929377,0.5346534653465347,vowelt,KEPT,0.6766440718825001
schmeem,Smim,0.856936232942625,0.820699964793199,0.6485148514851485,vowelt,KEPT,0.861374781356276
schmeep,Smip,0.374555952018433,0.488706844555439,0.4752475247524752,vowelt,KEPT,0.5187180236570935
schmeeve,Smiv,0.653509714858807,0.754643633791556,0.6188118811881188,ove,DROVE,0.731360497839272
schmim,SmIm,0.585598664686329,0.846057880180536,0.6336633663366337,ablaut,SANG,0.5950813334643151
schmine,Sm2n,0.815695004292663,0.981615866455072,0.7029702970297029,ove,DROVE,0.9444018594190885
schming,SmIN,0.448671924899549,0.513647051806318,0.5148514851485149,ablaut,SANG,0.4151486850526521
schmink,SmINk,0.15520822105682,0.116826724285313,0.6237623762376238,ablaut,SANG,0.24756942708543458
schmite,Sm2t,0.230989830242702,0.295705503864916,0.4504950495049505,ove,DROVE,0.4803776097590608
seeve,siv,0.756379346912914,0.800195740236974,0.599009900990099,ove,DROVE,0.8179336759024907
shing,SIN,0.302991672363204,0.602730098421217,0.4504950495049505,ablaut,SANG,0.3290015558534904
shreel,Sril,0.840884400658599,0.885951307744851,0.6287128712871287,vowelt,KEPT,0.8509660926755395
shreen,Srin,0.851565673776781,0.898302922026829,0.693069306930693,vowelt,KEPT,0.8262420643447222
shreep,Srip,0.380089215994517,0.525279162552981,0.4603960396039604,vowelt,KEPT,0.5914930916445581
shride,Sr2d,0.55003736673202,0.290402483703811,0.37623762376237624,ove,DROVE,0.5607571505029182
shrim,SrIm,0.808490202131027,0.965934079160845,0.594059405940594,ablaut,SANG,0.7684337982590599
shring,SrIN,0.41006746997805,0.359986604731712,0.4603960396039604,ablaut,SANG,0.3899124797159462
skeen,skin,0.952760809180138,0.93088393038116,0.6881188118811881,vowelt,KEPT,0.9320429486180353
skeep,skip,0.700973988933387,0.525705344680293,0.48514851485148514,vowelt,KEPT,0.6593760722066084
skell,skEl,0.624748759407508,0.624935587390038,0.5841584158415841,novowelt,BURNT,0.6733714154059522
sking,skIN,0.799755910312582,0.493992997834071,0.5198019801980198,ablaut,SANG,0.5716270704667363
skreeve,skriv,0.36539483670783,0.965242760402362,0.4900990099009901,ove,DROVE,0.7939190384613712
skride,skr2d,0.0470820912659382,0.0888158235212049,0.36633663366336633,ove,DROVE,0.4064627065946922
skrill,skrIl,0.884060799096413,0.907427011405822,0.7326732673267327,novowelt,BURNT,0.8934881951553386
skrine,skr2n,0.148631828243941,0.931432518727515,0.599009900990099,ove,DROVE,0.8487791912163402
skring,skrIN,0.0561851594416988,0.0694539395275029,0.45544554455445546,ablaut,SANG,0.21552350760353628
skrink,skrINk,0.210720360626119,0.189505251158052,0.4504950495049505,ablaut,SANG,0.24233505813036837
skrite,skr2t,0.311492840884704,0.62235440381923,0.49504950495049505,ove,DROVE,0.7169260738340858
skrurn,skr3n,0.95264756903381,0.969415495805697,0.6683168316831684,novowelt,BURNT,0.9224883950943094
skurn,sk3n,0.955532931884672,0.96888708815665,0.7326732673267327,novowelt,BURNT,0.9382149335129704
sleel,slil,0.718235608617942,0.6882547106717,0.5495049504950495,vowelt,KEPT,0.7358630136733132
sleen,slin,0.702498257245453,0.622330611612846,0.6336633663366337,vowelt,KEPT,0.6670318964736854
slill,slIl,0.861050405295735,0.773273058539597,0.693069306930693,novowelt,BURNT,0.8813310503305225
sline,sl2n,0.926115724269628,0.987472813682307,0.6138613861386139,ove,DROVE,0.9546130658210179
slive,sl2v,0.602803784869033,0.901459459691522,0.4900990099009901,ove,DROVE,0.6708083762771059
slurn,sl3n,0.771975529275942,0.689325264221849,0.698019801980198,novowelt,BURNT,0.6821755494074656
smeem,smim,0.896077548928853,0.966793813678128,0.6633663366336634,vowelt,KEPT,0.9189430687388518
smeen,smin,0.614618239491694,0.31964634142886,0.6831683168316832,vowelt,KEPT,0.5341136119354623
smide,sm2d,0.40436155207234,0.701718439381874,0.37623762376237624,ove,DROVE,0.7346211352392544
smill,smIl,0.675752975782463,0.732925610781827,0.6683168316831684,novowelt,BURNT,0.728477468606683
